"species","age","length"
1,3,9.64547000801281
1,5,12.2195575210264
1,9,13.8600018764044
2,1,2.28231799103453
2,9,14.935661903939
2,6,7.26715415745683
2,3,5.84856442387585
2,2,2.51493620428767
2,12,19.1772415195071
2,8,11.0912164204734
2,19,27.5471468653776
2,7,10.0208801953977
2,11,15.4970723562043
3,20,43.8354354578318
3,10,24.6903415583986
3,19,27.0520812435252
4,5,11.5552414084842
4,18,29.5978464617649
4,6,13.8622246316247
4,20,35.3602515142619
5,19,22.4827889542091
5,3,6.72235161488362
5,16,20.0234505554765
5,18,20.2297283625104
5,4,12.2314265934864
5,5,13.6808924777365
5,12,19.7645869774527
6,12,31.2535867217898
6,2,10.379968094604
6,14,28.3159329208857
6,19,29.7104154478134
6,20,31.1480491063535
6,13,19.6126045257592
6,5,17.5309236791378
6,6,14.9475634253388
7,4,4.75992208107572
8,15,25.5100013256665
8,16,20.0327646628137
8,3,4.43978571626307
9,12,19.6094789175095
9,20,20.1246941037124
9,16,19.0886605703165
9,1,5.99163721824342
9,2,8.56143647006169
10,19,25.0820270706003
10,9,14.8040046320638
10,4,6.63181265052337
10,14,20.8292931071867
10,15,16.2506013534555
10,10,17.1512443947743
10,1,2.1150299246826
10,5,7.73897563654983
10,11,15.3249917247413
10,3,4.20941683678111
11,9,15.8455633508385
11,1,8.57949716101519
11,17,31.5116717676618
11,18,21.6074637833834
11,3,10.2447697987023
11,11,26.4562496811027
11,12,28.3529702286789
11,6,22.9446105924872
11,15,21.9763017872731
12,9,22.9751240556746
12,8,21.7194201210511
12,13,24.4447973281034
12,19,28.4204571236497
12,10,28.0165304975966
12,14,36.4567731128466
13,5,7.0059795818438
13,2,6.00615727204403
14,12,14.9790097648764
14,6,11.7171249738436
14,1,3.49865247679363
14,19,25.7338016295282
15,5,6.84326555260593
15,10,10.3804387772007
16,3,5.74445448990874
16,7,11.1260895152476
16,1,5.32421664816726
17,6,16.8112737247503
18,14,24.2079483332553
19,13,24.1109168482102
19,19,25.1924909696838
19,9,13.8128480115259
19,2,10.5076744294802
19,7,9.1861154727641
19,16,33.6825258380809
19,20,31.122153496365
20,18,22.4073426507901
20,19,27.1598697213579
20,2,10.8130650315311
20,16,12.6102686257754
20,10,14.105577949198
20,1,5.33990586059047
20,8,14.2055403129206
20,17,23.9607033042622
20,14,19.1469263842733
20,12,21.7545626021104
